city,location,amenities
Karachi,Etawa Society,"swimming pool (society level), children's play area, gated community, 24/7 security, commercial market nearby"
Lahore,Peco Road,"children's play area, park & green belt, wide carpeted streets, underground electricity, mosque nearby"
Lahore,Hamza Town,"park & green belt, community center, commercial market nearby, 24/7 security"
Lahore,Model Town,"commercial market nearby, underground electricity, gym & fitness club, gated community, park & green belt, wide carpeted streets, children's play area"
Rawalpindi,Askari 14,"24/7 security, underground electricity, community center, swimming pool (society level), wide carpeted streets"
Faisalabad,Punjab Govt. Servants Housing Foundation,"community center, park & green belt, gym & fitness club, underground electricity, wide carpeted streets"
Faisalabad,Jaranwala,"park & green belt, underground electricity, swimming pool (society level), mosque nearby"
Faisalabad,Ismail Valley,"swimming pool (society level), park & green belt, backup generator in common areas, gym & fitness club, mosque nearby, wide carpeted streets, children's play area"
Karachi,Clifton,"backup generator in common areas, commercial market nearby, mosque nearby, underground electricity"
Lahore,Punjab Coop Housing Society,"swimming pool (society level), underground electricity, park & green belt, gated community, backup generator in common areas, 24/7 security"
Rawalpindi,Rawat,"24/7 security, wide carpeted streets, backup generator in common areas, community center, children's play area"
Faisalabad,Madina Town,"commercial market nearby, mosque nearby, community center, park & green belt"
Rawalpindi,Satellite Town,"24/7 security, gated community, underground electricity, children's play area, swimming pool (society level), backup generator in common areas"
Lahore,Bedian Road,"swimming pool (society level), gated community, wide carpeted streets, community center, gym & fitness club, mosque nearby"
Lahore,Nishtar Colony,"swimming pool (society level), mosque nearby, park & green belt, children's play area, underground electricity"
Rawalpindi,Westridge,"park & green belt, children's play area, 24/7 security, swimming pool (society level), gym & fitness club, gated community, wide carpeted streets"
Rawalpindi,Chaklala Scheme,"backup generator in common areas, children's play area, mosque nearby, gym & fitness club, community center"
Islamabad,FECHS,"underground electricity, park & green belt, gated community, children's play area, gym & fitness club, 24/7 security"
Rawalpindi,Khayaban-e-Sir Syed,"children's play area, wide carpeted streets, commercial market nearby, underground electricity"
Karachi,Mehmoodabad,"backup generator in common areas, park & green belt, gated community, mosque nearby, 24/7 security, gym & fitness club"
Lahore,Valencia Housing Society,"mosque nearby, backup generator in common areas, wide carpeted streets, commercial market nearby, park & green belt, children's play area, gated community"
Islamabad,Kashmir Highway,"mosque nearby, park & green belt, children's play area, commercial market nearby"
Lahore,Hassan Town,"gated community, backup generator in common areas, 24/7 security, swimming pool (society level), community center, mosque nearby"
Karachi,Punjab Colony,"commercial market nearby, park & green belt, gym & fitness club, gated community, wide carpeted streets, underground electricity"
Lahore,Cantt,"wide carpeted streets, gym & fitness club, mosque nearby, underground electricity, children's play area, swimming pool (society level), backup generator in common areas"
Karachi,Khayaban-e-Ittehad Road,"commercial market nearby, gym & fitness club, community center, underground electricity, gated community"
Rawalpindi,Gulzar-e-Quaid Housing Society,"swimming pool (society level), backup generator in common areas, underground electricity, gym & fitness club, park & green belt"
Rawalpindi,New Lalazar,"backup generator in common areas, swimming pool (society level), gated community, gym & fitness club"
Karachi,Khalid Bin Walid Road,"children's play area, commercial market nearby, park & green belt, gym & fitness club"
Islamabad,Islamabad Highway,"children's play area, wide carpeted streets, 24/7 security, underground electricity, gated community, gym & fitness club"
Faisalabad,Al Noor Garden,"underground electricity, wide carpeted streets, park & green belt, gym & fitness club, 24/7 security"
Lahore,Upper Mall,"commercial market nearby, underground electricity, swimming pool (society level), backup generator in common areas, gym & fitness club"
Islamabad,Margalla Town,"mosque nearby, commercial market nearby, backup generator in common areas, community center"
Faisalabad,Ayub Colony,"commercial market nearby, children's play area, 24/7 security, park & green belt, mosque nearby"
Karachi,Sindh Industrial Trading Estate (SITE),"gym & fitness club, commercial market nearby, 24/7 security, mosque nearby, swimming pool (society level)"
Rawalpindi,Media Town,"backup generator in common areas, commercial market nearby, gated community, wide carpeted streets, underground electricity, community center, children's play area"
Rawalpindi,Muslim Town,"children's play area, wide carpeted streets, backup generator in common areas, gym & fitness club"
Lahore,Gulshan-e-Ravi,"commercial market nearby, gated community, mosque nearby, underground electricity, swimming pool (society level)"
Lahore,Al-Raziq Garden,"children's play area, community center, gated community, gym & fitness club, wide carpeted streets, commercial market nearby"
Lahore,Mateen Avenue,"commercial market nearby, underground electricity, swimming pool (society level), gated community, park & green belt"
Lahore,Sami Town,"park & green belt, underground electricity, swimming pool (society level), 24/7 security"
Lahore,Ghous Garden,"gated community, backup generator in common areas, commercial market nearby, wide carpeted streets"
Lahore,Ittifaq Town,"commercial market nearby, wide carpeted streets, mosque nearby, gated community, 24/7 security, swimming pool (society level), community center"
Faisalabad,Makkah Garden,"backup generator in common areas, commercial market nearby, children's play area, wide carpeted streets, park & green belt"
Lahore,Nawab Town,"swimming pool (society level), gym & fitness club, gated community, wide carpeted streets"
Lahore,Islamia Park,"swimming pool (society level), mosque nearby, underground electricity, wide carpeted streets, backup generator in common areas"
Islamabad,G-10,"park & green belt, wide carpeted streets, 24/7 security, gated community, commercial market nearby, gym & fitness club, backup generator in common areas"
Rawalpindi,Dhok Sayedan Road,"wide carpeted streets, park & green belt, children's play area, community center, underground electricity"
Lahore,Abdul Sattar Edhi Road,"gym & fitness club, park & green belt, mosque nearby, wide carpeted streets"
Lahore,Lahore Medical Housing Society,"backup generator in common areas, 24/7 security, gated community, mosque nearby, children's play area, commercial market nearby"
Faisalabad,Eden Gardens,"commercial market nearby, park & green belt, backup generator in common areas, 24/7 security"
Islamabad,Jhangi Syedan,"gated community, children's play area, backup generator in common areas, gym & fitness club, mosque nearby, underground electricity"
Lahore,Mughalpura,"park & green belt, gated community, underground electricity, mosque nearby, 24/7 security"
Lahore,Tricon Village,"wide carpeted streets, 24/7 security, gym & fitness club, swimming pool (society level)"
Rawalpindi,Holy Family Road,"community center, mosque nearby, 24/7 security, park & green belt, underground electricity, wide carpeted streets, gym & fitness club"
Lahore,Kahna,"gym & fitness club, commercial market nearby, 24/7 security, children's play area, swimming pool (society level), underground electricity"
Faisalabad,Jhang Road,"backup generator in common areas, swimming pool (society level), park & green belt, underground electricity"
Islamabad,Madina Town,"wide carpeted streets, park & green belt, mosque nearby, commercial market nearby, gym & fitness club"
Lahore,Allama Iqbal Road,"wide carpeted streets, backup generator in common areas, swimming pool (society level), commercial market nearby, underground electricity, park & green belt"
Rawalpindi,Farooq-e-Azam Road,"swimming pool (society level), backup generator in common areas, park & green belt, wide carpeted streets, children's play area, community center, commercial market nearby"
Lahore,Tajpura,"park & green belt, underground electricity, gym & fitness club, gated community, commercial market nearby, community center"
Karachi,New Karachi,"community center, backup generator in common areas, commercial market nearby, underground electricity, wide carpeted streets, gated community, park & green belt"
Karachi,Orangi Town,"gated community, commercial market nearby, backup generator in common areas, gym & fitness club"
Karachi,KDA Scheme 1,"children's play area, park & green belt, community center, swimming pool (society level), 24/7 security"
Lahore,Township,"24/7 security, backup generator in common areas, park & green belt, wide carpeted streets, gym & fitness club, community center, children's play area"
